111,FW Typ 1
113,FW Typ 1
115,FW Typ 1
117,FW Typ 1
135,FW Typ 1
141,FW Typ 1
143,FW Typ 1
147,FW Caddy
148,FW Caddy
151,FW Typ 1
152,FW Typ 1
154,FW Golf/Jetta < 83
155,FW Golf/Jetta < 83
161,FW Golf/Jetta < 83
163,FW Golf/Jetta < 83
165,FW Golf/Jetta > 83
167,FW Golf/Jetta > 83
171,FW Golf/Jetta < 83
173,FW Golf/Jetta < 83
181,FW Typ 1
183,FW Iltis
191,FW Golf/Jetta > 83
192,FW Golf/Jetta > 83
193,FW Golf/Jetta > 83
194,FW Golf/Jetta > 83
1AE,FW Caddy
1C1,FW New Beetle > 99
1E7,FW Golf Cabrio < 03
1G1,FW Golf/Jetta > 83
1G2,FW Golf/Jetta > 83
1G4,FW Golf/Jetta > 83
1H1,FW Golf III 92 > / Variant 94 > 99
1H2,FW Golf III 92 > / Variant 94 > 99
1H5,FW Golf III 92 > / Variant 94 > 99
1J1,FW Golf IV > 98 / Variant > 99
1J2,FW Bora Variant > 99
1J5,FW Golf IV > 98 / Variant > 99
1J6,FW Bora Variant > 99
1K1,FW Golf > 04
1T1,FW TOURAN 03 >
1V7,FW Golf Cabrio < 03
1Y7,FW New Beetle Cabriolet 03 >
211,FW Transporter > 91
215,FW Transporter > 91
21A,FW LT 83 > 96
21B,FW LT 83 > 96
21C,FW LT 83 > 96
21D,FW LT 83 > 96
21E,FW LT 83 > 96
21F,FW LT 83 > 96
21G,FW LT 83 > 96
21H,FW LT 83 > 96
21K,FW LT 83 > 96
221,FW Typ 2
225,FW Typ 2
231,FW Typ 2
235,FW Typ 2
241,FW Typ 2
245,FW Typ 2 > 80
246,FW Typ 2 > 80
247,FW Typ 2 > 80
248,FW Typ 2 > 80
251,FW Typ 2 > 80
252,FW Typ 2 > 80
253,FW Typ 2 > 80
254,FW Typ 2 > 80
255,FW Typ 2 > 80
256,FW Typ 2 > 80
261,FW Typ 2
265,FW Typ 2
271,FW Typ 2
281,FW LT 83 > 96
282,FW LT 83 > 96
283,FW LT 83 > 96
284,FW LT 83 > 96
285,FW LT 83 > 96
286,FW LT 83 > 96
291,FW LT 83 > 96
292,FW LT 83 > 96
293,FW LT 83 > 96
294,FW LT 83 > 96
295,FW LT 83 > 96
2DA,FW LT > 97
2DB,FW LT > 97
2DC,FW LT > 97
2DD,FW LT > 97
2DE,FW LT > 97
2DF,FW LT > 97
2DG,FW LT > 97
2DH,FW LT > 97
2DK,FW LT > 97
2DL,FW LT > 97
2DM,FW LT > 97
2KA,FW Caddy > 04
2KB,FW Caddy > 04
2VC,FW L80 > 96
2VF,FW L80 > 96
2VH,FW L80 > 96
3A2,FW Passat 88 > 97
3A5,FW Passat 88 > 97
3B2,FW Passat 97 > / Variant 98 >
3B3,FW Passat 00 >
3B5,FW Passat 97 > / Variant 98 >
3B6,FW Passat 00 >
3D2,FW Phaeton 03 >
3G2,FW Passat > 15
3G5,FW Passat > 15
3D8,FW Phaeton 03 >
311,FW Typ 3
312,FW Passat 88 < 96
313,FW Typ 3
315,FW Passat 88 < 96
317,FW Typ 3
321,FW Passat < 80
321,FW Passat > 81
323,FW Passat < 80
323,FW Passat > 81
327,FW Passat > 81
331,FW Passat < 81
331,FW Passat > 81
343,FW Karman Ghia
345,FW Karman Ghia
361,FW Typ 3 Variant
363,FW Typ 3 Variant
365,FW Typ 3 Variant
367,FW Typ 3 Variant
411,FW 411 Limousine
415,FW 411 Limousine
421,FW 411 Limousine
425,FW 411 Limousine
461,FW 411 Variant
465,FW 411 Variant
481,FW K70
5Z5,FW Fox > 15
509,FW Corrado 89 < 95
531,FW Scirocco 84 < 92
533,FW Scirocco 84 < 92
6N1,FW Polo > 95
6N2,FW Polo > 95
6V2,FW Polo Classic
6V5,FW Polo Classic
6X1,FW Lupo > 99
70A,FW Transporter 91 > 03
70B,FW Transporter 91 > 03
70C,FW Transporter 91 > 03
70E,FW Transporter 91 > 03
70H,FW Transporter 91 > 03
70J,FW Transporter 91 > 03
70K,FW Transporter 91 > 03
70L,FW Transporter 91 > 03
70M,FW Transporter 91 > 03
7AE,FW Taro 89 < 97
7AG,FW Taro 89 < 97
7AX,FW Taro 89 < 97
7DA,FW Transporter 91 > 03
7DB,FW Transporter 91 > 03
7DC,FW Transporter 91 > 03
7DE,FW Transporter 91 > 03
7DH,FW Transporter 91 > 03
7DJ,FW Transporter 91 > 03
7DK,FW Transporter 91 > 03
7DL,FW Transporter 91 > 03
7DM,FW Transporter 91 > 03
7HA,FW T5 Kasten 04 >
7HB,FW T5 Kombi/Multi 04 >
7HC,FW T5 Camper 04 >
7HH,FW T5 Kasten 04 >
7HJ,FW T5 Kombi/Multi 04 >
7HM,FW T5 Kombi/Multi 04 >
7JD,FW T5 Doppelkabine > 04
7JE,FW T5 Pritsche > 04
7JL,FW T5 Pritsche > 04
7LA,FW Touareg > 03
7M6,FW Sharan > 04
7M8,FW Sharan > 96
7M9,FW Sharan > 00
801,FW Polo/Derby > 82
802,FW Polo/Derby > 82
803,FW Polo/Derby > 82
861,FW Polo/Derby < 81
863,FW Polo/Derby < 81
865,FW Polo/Derby < 81
867,FW Polo/Derby > 82
871,FW Polo/Derby > 82
873,FW Polo/Derby > 82
9C1,FW Beetle > 99
9G1,FW New Beetle RSI
9K9,FW Caddy < 03
9N1,FW Polo 02 >
9N2,FW Polo 02 >
9U7,FW Caddy Pickup < 03
